Lat,Lon,City,State,Highlight,Decade,Count,Links
43.1683,-77.6026,"Rochester","New York","All","1970",3,0
43.1683,-77.6026,"Rochester","New York","Music","1970",1,0
43.1683,-77.6026,"Rochester","New York","Poetry","1970",1,0
43.1683,-77.6026,"Rochester","New York","Music","All",1,0
43.1683,-77.6026,"Rochester","New York","Poetry","All",1,0
38.912217,-77.017691,"Washington","District of Columbia","Poetry","1970",12,0
38.912217,-77.017691,"Washington","District of Columbia","Poetry","All",30,0
39.29463,-76.625203,"Baltimore","Maryland","All","All",72,0
39.29463,-76.625203,"Baltimore","Maryland","All","1980",18,0
42.6525,-73.7566,"Albany","New York","All","All",11,0
42.6525,-73.7566,"Albany","New York","All","1980",6,0
42.6525,-73.7566,"Albany","New York","Education","1980",1,0
42.6525,-73.7566,"Albany","New York","Education","All",3,0
40.74838,-73.996705,"New York","New York","All","1990",113,0
38.2435,-85.7639,"Louisville","Kentucky","All","All",23,0
38.2435,-85.7639,"Louisville","Kentucky","All","1990",2,0
32.524398,-92.715785,"Grambling","Louisiana","All","All",29,0
32.524398,-92.715785,"Grambling","Louisiana","All","1970",7,0
32.524398,-92.715785,"Grambling","Louisiana","All","1980",10,0
37.220001,-77.432594,"Petersburg","Virginia","All","All",32,0
37.220001,-77.432594,"Petersburg","Virginia","All","1980",12,0
38.912217,-77.017691,"Washington","District of Columbia","Art","1980",9,0
38.912217,-77.017691,"Washington","District of Columbia","Art","All",29,0
33.451,-112.0685,"Phoenix","Arizona","All","All",9,0
33.451,-112.0685,"Phoenix","Arizona","All","1980",2,0
33.451,-112.0685,"Phoenix","Arizona","Science","1980",1,0
33.451,-112.0685,"Phoenix","Arizona","Science","All",1,0
33.973093,-118.247896,"Los Angeles","California","All","All",178,0
33.973093,-118.247896,"Los Angeles","California","All","1990",44,0
33.973093,-118.247896,"Los Angeles","California","Art","1990",5,0
33.973093,-118.247896,"Los Angeles","California","Art","All",11,0
40.694021,-73.99034,"Brooklyn","New York","All","All",94,0
40.694021,-73.99034,"Brooklyn","New York","All","1990",26,0
30.6959,-88.0434,"Mobile","Alabama","All","All",15,0
30.6959,-88.0434,"Mobile","Alabama","All","1970",3,0
39.716111,-83.877778,"Wilberforce","Ohio","All","All",41,0
39.716111,-83.877778,"Wilberforce","Ohio","All","1930",5,0
32.602043,-85.489001,"Auburn","Alabama","All","All",2,0
32.602043,-85.489001,"Auburn","Alabama","All","1960",1,0
32.602043,-85.489001,"Auburn","Alabama","Civil rights","1960",1,0
32.602043,-85.489001,"Auburn","Alabama","Civil rights","All",1,0
33.7564,-84.3918,"Atlanta","Georgia","All","1940",19,0
33.7564,-84.3918,"Atlanta","Georgia","Science","1940",2,0
33.7564,-84.3918,"Atlanta","Georgia","Science","All",3,0
34.726866,-86.567318,"Huntsville","Alabama","All","All",23,0
34.726866,-86.567318,"Huntsville","Alabama","All","1930",3,0
34.726866,-86.567318,"Huntsville","Alabama","All","1940",3,0
40.694021,-73.99034,"Brooklyn","New York","All","1950",2,0
40.694021,-73.99034,"Brooklyn","New York","All","1960",11,0
40.694021,-73.99034,"Brooklyn","New York","Civil rights","1960",2,0
40.694021,-73.99034,"Brooklyn","New York","Civil rights","All",2,0
30.093056,-95.9875,"Prairie View","Texas","All","All",31,0
30.093056,-95.9875,"Prairie View","Texas","All","1970",11,0
33.125043,-90.055674,"Lexington","Mississippi","All","All",1,0
33.125043,-90.055674,"Lexington","Mississippi","All","1980",1,0
41.885847,-87.618123,"Chicago","Illinois","All","1960",40,0
38.95063,-76.934652,"Hyattsville","Maryland","All","All",11,0
38.95063,-76.934652,"Hyattsville","Maryland","All","1990",4,0
39.984313,-75.825299,"Coatesville","Pennsylvania","All","All",1,0
39.984313,-75.825299,"Coatesville","Pennsylvania","All","1920",1,0
39.984313,-75.825299,"Coatesville","Pennsylvania","Education","1920",1,0
39.984313,-75.825299,"Coatesville","Pennsylvania","Education","All",1,0
29.7652,-95.3657,"Houston","Texas","All","All",51,0
29.7652,-95.3657,"Houston","Texas","All","1960",8,0
29.7652,-95.3657,"Houston","Texas","Poetry","1960",2,0
29.7652,-95.3657,"Houston","Texas","Poetry","All",4,0
29.201168,-81.037071,"Daytona Beach","Florida","All","1970",6,0
36.167028,-86.778441,"Nashville","Tennessee","All","All",116,0
36.167028,-86.778441,"Nashville","Tennessee","All","1980",12,0
32.3743,-86.3118,"Montgomery","Alabama","All","All",37,0
32.3743,-86.3118,"Montgomery","Alabama","All","1870",2,0
41.873996,-72.272774,"Willington","Connecticut","All","All",19,0
41.873996,-72.272774,"Willington","Connecticut","All","1880",1,0
41.873996,-72.272774,"Willington","Connecticut","All","1890",1,0
41.873996,-72.272774,"Willington","Connecticut","All","1900",2,0
42.347429,-83.060398,"Detroit","Michigan","All","All",81,0
42.347429,-83.060398,"Detroit","Michigan","All","1940",10,0
42.347429,-83.060398,"Detroit","Michigan","Civil rights","1940",3,0
42.347429,-83.060398,"Detroit","Michigan","Civil rights","All",8,0
40.74838,-73.996705,"New York","New York","Civil rights","1970",9,0
40.74838,-73.996705,"New York","New York","Civil rights","All",43,0
40.74838,-73.996705,"New York","New York","All","1920",40,0
39.80004,-89.649531,"Springfield","Illinois","All","All",12,0
39.80004,-89.649531,"Springfield","Illinois","All","1890",3,0
40.74838,-73.996705,"New York","New York","Education","1980",7,0
47.611435,-122.330456,"Seattle","Washington","All","1960",10,0
30.505972,-97.747187,"Austin","Texas","All","All",33,0
30.505972,-97.747187,"Austin","Texas","All","1980",6,0
29.201168,-81.037071,"Daytona Beach","Florida","All","1900",2,0
45.443343,-122.775974,"Portland","Oregon","All","All",23,0
45.443343,-122.775974,"Portland","Oregon","All","1920",1,0
45.443343,-122.775974,"Portland","Oregon","All","1930",2,0
43.897591,-69.955469,"Brunswick","Maine","All","All",1,0
43.897591,-69.955469,"Brunswick","Maine","All","1830",1,0
43.897591,-69.955469,"Brunswick","Maine","All","1840",1,0
29.023642,-95.586683,"Brazoria","Texas","All","All",1,0
29.023642,-95.586683,"Brazoria","Texas","All","1830",1,0
41.885847,-87.618123,"Chicago","Illinois","All","1980",77,0
41.118338,-73.943006,"Valley Cottage","New York","All","All",1,0
41.118338,-73.943006,"Valley Cottage","New York","All","1990",1,0
41.118338,-73.943006,"Valley Cottage","New York","History","1990",1,0
41.118338,-73.943006,"Valley Cottage","New York","History","All",1,0
33.7564,-84.3918,"Atlanta","Georgia","All","1960",42,0
40.74838,-73.996705,"New York","New York","Civil rights","1990",1,0
41.885847,-87.618123,"Chicago","Illinois","All","1990",78,0
40.74838,-73.996705,"New York","New York","All","1940",51,0
38.95063,-76.934652,"Hyattsville","Maryland","All","1980",5,0
39.716111,-83.877778,"Wilberforce","Ohio","All","1990",5,0
41.885847,-87.618123,"Chicago","Illinois","All","1970",60,0
41.885847,-87.618123,"Chicago","Illinois","Art","1990",6,0
41.885847,-87.618123,"Chicago","Illinois","Art","All",15,0
39.29463,-76.625203,"Baltimore","Maryland","All","1990",15,0
37.621944,-122.381944,"San Francisco","California","All","All",56,2
37.621944,-122.381944,"San Francisco","California","All","1990",15,0
33.890654,-118.239044,"Compton","California","All","All",4,0
33.890654,-118.239044,"Compton","California","All","1990",1,0
33.890654,-118.239044,"Compton","California","Education","1990",1,0
33.890654,-118.239044,"Compton","California","Education","All",1,0
32.7469,-97.3268,"Fort Worth","Texas","All","All",27,0
32.7469,-97.3268,"Fort Worth","Texas","All","1990",6,0
34.935211,-81.965377,"Spartanburg","South Carolina","All","All",1,0
34.935211,-81.965377,"Spartanburg","South Carolina","All","1990",1,0
29.960484,-90.075301,"New Orleans","Louisiana","Health","1980",2,0
29.960484,-90.075301,"New Orleans","Louisiana","Health","All",3,0
41.4918,-81.6757,"Cleveland","Ohio","All","All",54,0
41.4918,-81.6757,"Cleveland","Ohio","All","1980",4,0
41.4918,-81.6757,"Cleveland","Ohio","History","1980",2,0
41.4918,-81.6757,"Cleveland","Ohio","All","1990",10,0
41.4918,-81.6757,"Cleveland","Ohio","History","1990",3,0
41.4918,-81.6757,"Cleveland","Ohio","History","All",3,0
28.539882,-81.372668,"Orlando","Florida","All","All",12,0
28.539882,-81.372668,"Orlando","Florida","All","1990",4,0
39.29463,-76.625203,"Baltimore","Maryland","All","1970",12,0
32.789332,-115.566508,"El Centro","California","All","All",1,0
32.789332,-115.566508,"El Centro","California","All","1990",1,0
32.789332,-115.566508,"El Centro","California","Education","1990",1,0
32.789332,-115.566508,"El Centro","California","Education","All",1,0
45.061132,-92.954847,"St. Paul","Minnesota","All","All",22,0
45.061132,-92.954847,"St. Paul","Minnesota","All","1990",5,0
45.061132,-92.954847,"St. Paul","Minnesota","Education","1990",1,0
45.061132,-92.954847,"St. Paul","Minnesota","Education","All",1,0
47.464759,-122.207484,"Renton","Washington","All","All",1,0
47.464759,-122.207484,"Renton","Washington","All","1990",1,0
47.464759,-122.207484,"Renton","Washington","Education","1990",1,0
47.464759,-122.207484,"Renton","Washington","Health","1990",1,0
47.464759,-122.207484,"Renton","Washington","Education","All",1,0
47.464759,-122.207484,"Renton","Washington","Health","All",1,0
39.4666,-87.4138,"Terre Haute","Indiana","All","All",2,0
39.4666,-87.4138,"Terre Haute","Indiana","All","1960",1,0
40.694021,-73.99034,"Brooklyn","New York","Education","1960",2,0
40.694021,-73.99034,"Brooklyn","New York","Education","All",8,0
38.648284, -77.342350,"Dale City","Virginia","All","All",1,0
38.648284, -77.342350,"Dale City","Virginia","All","1980",1,0
42.738805,-84.476409,"East Lansing","Michigan","All","All",4,0
42.738805,-84.476409,"East Lansing","Michigan","All","1990",2,0
42.738805,-84.476409,"East Lansing","Michigan","Education","1990",1,0
42.738805,-84.476409,"East Lansing","Michigan","Education","All",1,0
35.0337,-89.9343,"Memphis","Tennessee","All","All",24,0
35.0337,-89.9343,"Memphis","Tennessee","All","1990",7,0
42.347429,-83.060398,"Detroit","Michigan","All","1990",12,0
42.347429,-83.060398,"Detroit","Michigan","Art","1990",1,0
42.347429,-83.060398,"Detroit","Michigan","History","1990",2,0
42.347429,-83.060398,"Detroit","Michigan","Art","All",3,0
42.347429,-83.060398,"Detroit","Michigan","History","All",5,0
33.973093,-118.247896,"Los Angeles","California","All","1960",28,0
33.973093,-118.247896,"Los Angeles","California","Art","1960",2,0
42.377017,-72.51565,"Amherst","Massachusetts","All","All",6,0
42.377017,-72.51565,"Amherst","Massachusetts","All","1980",2,0
42.377017,-72.51565,"Amherst","Massachusetts","History","1980",1,0
42.377017,-72.51565,"Amherst","Massachusetts","Poetry","1980",1,0
42.377017,-72.51565,"Amherst","Massachusetts","All","1990",2,0
42.377017,-72.51565,"Amherst","Massachusetts","History","1990",1,0
42.377017,-72.51565,"Amherst","Massachusetts","Poetry","1990",1,0
42.377017,-72.51565,"Amherst","Massachusetts","History","All",3,0
42.377017,-72.51565,"Amherst","Massachusetts","Poetry","All",2,0
33.973093,-118.247896,"Los Angeles","California","All","1980",39,0
42.726,-87.7825,"Racine","Wisconsin","All","All",6,0
